"GSE","GSM","age","sex"
"GSE16717","GSM418770",91,"F"
"GSE16717","GSM418771",56,"F"
"GSE16717","GSM418772",91,"F"
"GSE16717","GSM418773",52,"F"
"GSE16717","GSM418774",64,"F"
"GSE16717","GSM418775",64,"F"
"GSE16717","GSM418776",59,"F"
"GSE16717","GSM418777",93,"F"
"GSE16717","GSM418778",61,"F"
"GSE16717","GSM418779",93,"F"
"GSE16717","GSM418780",90,"F"
"GSE16717","GSM418781",53,"F"
"GSE16717","GSM418782",96,"F"
"GSE16717","GSM418783",101,"F"
"GSE16717","GSM418784",98,"F"
"GSE16717","GSM418785",54,"F"
"GSE16717","GSM418786",58,"F"
"GSE16717","GSM418787",59,"F"
"GSE16717","GSM418788",60,"F"
"GSE16717","GSM418789",92,"F"
"GSE16717","GSM418790",62,"F"
"GSE16717","GSM418791",69,"F"
"GSE16717","GSM418792",90,"F"
"GSE16717","GSM418793",89,"F"
"GSE16717","GSM418794",63,"F"
"GSE16717","GSM418795",56,"F"
"GSE16717","GSM418796",91,"F"
"GSE16717","GSM418797",90,"F"
"GSE16717","GSM418798",94,"F"
"GSE16717","GSM418799",60,"F"
"GSE16717","GSM418800",64,"F"
"GSE16717","GSM418801",63,"F"
"GSE16717","GSM418802",89,"F"
"GSE16717","GSM418803",64,"F"
"GSE16717","GSM418804",63,"F"
"GSE16717","GSM418805",54,"F"
"GSE16717","GSM418806",92,"F"
"GSE16717","GSM418807",99,"F"
"GSE16717","GSM418808",93,"F"
"GSE16717","GSM418809",96,"F"
"GSE16717","GSM418810",66,"F"
"GSE16717","GSM418811",56,"F"
"GSE16717","GSM418812",64,"F"
"GSE16717","GSM418813",70,"F"
"GSE16717","GSM418814",59,"F"
"GSE16717","GSM418815",61,"F"
"GSE16717","GSM418816",91,"F"
"GSE16717","GSM418817",56,"F"
"GSE16717","GSM418818",72,"F"
"GSE16717","GSM418819",68,"F"
"GSE16717","GSM418820",91,"F"
"GSE16717","GSM418821",60,"F"
"GSE16717","GSM418822",62,"F"
"GSE16717","GSM418823",58,"F"
"GSE16717","GSM418824",73,"F"
"GSE16717","GSM418825",60,"F"
"GSE16717","GSM418826",54,"F"
"GSE16717","GSM418827",59,"F"
"GSE16717","GSM418828",56,"F"
"GSE16717","GSM418829",102,"F"
"GSE16717","GSM418830",62,"F"
"GSE16717","GSM418831",61,"F"
"GSE16717","GSM418832",98,"F"
"GSE16717","GSM418833",60,"F"
"GSE16717","GSM418834",55,"F"
"GSE16717","GSM418835",61,"F"
"GSE16717","GSM418836",68,"F"
"GSE16717","GSM418837",92,"F"
"GSE16717","GSM418838",61,"F"
"GSE16717","GSM418839",73,"F"
"GSE16717","GSM418840",57,"F"
"GSE16717","GSM418841",62,"F"
"GSE16717","GSM418842",62,"F"
"GSE16717","GSM418843",65,"F"
"GSE16717","GSM418844",62,"F"
"GSE16717","GSM418845",90,"F"
"GSE16717","GSM418846",70,"F"
"GSE16717","GSM418847",61,"F"
"GSE16717","GSM418848",62,"F"
"GSE16717","GSM418849",91,"F"
"GSE16717","GSM418850",92,"F"
"GSE16717","GSM418851",94,"F"
"GSE16717","GSM418852",65,"F"
"GSE16717","GSM418853",61,"F"
"GSE16717","GSM418854",60,"F"
"GSE16717","GSM418855",63,"F"
"GSE16717","GSM418856",91,"F"
"GSE16717","GSM418857",61,"F"
"GSE16717","GSM418858",60,"F"
"GSE16717","GSM418859",58,"F"
"GSE16717","GSM418860",66,"F"
"GSE16717","GSM418861",54,"F"
"GSE16717","GSM418862",92,"F"
"GSE16717","GSM418863",71,"F"
"GSE16717","GSM418864",65,"F"
"GSE16717","GSM418865",58,"F"
"GSE16717","GSM418866",97,"F"
"GSE16717","GSM418867",61,"F"
"GSE16717","GSM418868",65,"F"
"GSE16717","GSM418869",90,"F"
"GSE16717","GSM418870",51,"F"
"GSE16717","GSM418871",91,"F"
"GSE16717","GSM418872",61,"F"
"GSE16717","GSM418873",92,"F"
"GSE16717","GSM418874",91,"F"
"GSE16717","GSM418875",96,"F"
"GSE16717","GSM418876",49,"F"
"GSE16717","GSM418877",61,"F"
"GSE16717","GSM418878",47,"F"
"GSE16717","GSM418879",93,"F"
"GSE16717","GSM418880",72,"F"
"GSE16717","GSM418881",57,"F"
"GSE16717","GSM418882",93,"F"
"GSE16717","GSM418883",54,"F"
"GSE16717","GSM418884",74,"F"
"GSE16717","GSM418885",92,"F"
"GSE16717","GSM418886",69,"F"
"GSE16717","GSM418887",92,"F"
"GSE16717","GSM418888",57,"F"
"GSE16717","GSM418889",60,"F"
"GSE16717","GSM418890",55,"F"
"GSE16717","GSM418891",58,"F"
"GSE16717","GSM418892",89,"F"
"GSE16717","GSM418893",78,"F"
"GSE16717","GSM418894",91,"F"
"GSE16717","GSM418895",89,"F"
"GSE16717","GSM418896",63,"F"
