"GSE","GSM","age","sex"
"GSE67220","""GSM1642604""",25,NA
"GSE67220","""GSM1642605""",28,NA
"GSE67220","""GSM1642606""",31,NA
"GSE67220","""GSM1642607""",34,NA
"GSE67220","""GSM1642608""",37,NA
"GSE67220","""GSM1642609""",40,NA
"GSE67220","""GSM1642610""",43,NA
"GSE67220","""GSM1642611""",46,NA
"GSE67220","""GSM1642612""",49,NA
"GSE67220","""GSM1642613""",52,NA
"GSE67220","""GSM1642614""",55,NA
"GSE67220","""GSM1642615""",1,NA
"GSE67220","""GSM1642616""",10,NA
"GSE67220","""GSM1642617""",13,NA
"GSE67220","""GSM1642618""",16,NA
"GSE67220","""GSM1642619""",19,NA
"GSE67220","""GSM1642620""",22,NA
"GSE67220","""GSM1642621""",4,NA
"GSE67220","""GSM1642622""",58,NA
"GSE67220","""GSM1642623""",7,NA
