Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FLT3 Signaling R-HSA-9607240	3/37	1.4714837934179557E-5	0.002633955990218141	0	0	76.49616368286445	851.1463601598612	SEPSECS;CDKN1B;BCL2L11
Cellular Senescence R-HSA-2559583	4/165	5.7952177146741723E-5	0.004818043037380344	0	0	22.374929418407678	218.28740429953353	CDKN1B;TFDP1;PHC3;TERF2
FOXO-mediated Transcription R-HSA-9614085	3/65	8.074932464883258E-5	0.004818043037380344	0	0	41.890603085554	394.78378616369565	PINK1;CDKN1B;BCL2L11
FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657	2/16	1.928308312214584E-4	0.007621091627204707	0	0	118.80952380952381	1016.2607001246405	PINK1;BCL2L11
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	2/17	2.1836712816906202E-4	0.007621091627204707	0	0	110.88333333333334	934.6725227945789	CDKN1B;TFDP1
Cellular Responses To Stress R-HSA-2262752	6/722	2.6875315247108675E-4	0.007621091627204707	0	0	8.068994413407822	66.3409905464927	CDKN1B;TFDP1;DNAJB6;EXOSC3;PHC3;TERF2
Cellular Responses To Stimuli R-HSA-8953897	6/736	2.980315161476701E-4	0.007621091627204707	0	0	7.908493150684931	64.20360945484494	CDKN1B;TFDP1;DNAJB6;EXOSC3;PHC3;TERF2
Activation Of BH3-only Proteins R-HSA-114452	2/30	6.912391650978139E-4	0.015466476319063584	0	0	59.36309523809524	431.9867091057638	BCL2L11;TFDP1
Transcriptional Regulation By E2F6 R-HSA-8953750	2/34	8.886174067263165E-4	0.017673612867112297	0	0	51.932291666666664	364.8681683209649	TFDP1;PHC3
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139	2/36	9.963204237941185E-4	0.01783413558591472	0	0	48.872549019607845	337.7797704194284	CDKN1B;TFDP1
Diseases Of Mitotic Cell Cycle R-HSA-9675126	2/38	0.0011099934165052713	0.018062620141313053	0	0	46.15277777777778	313.99586347444836	CDKN1B;TFDP1
Cyclin D Associated Events In G1 R-HSA-69231	2/47	0.0016946160725657812	0.02527802308243957	0	0	36.90555555555556	235.4684817766529	CDKN1B;TFDP1
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	2/49	0.001840602226266995	0.025343676807830163	0	0	35.33156028368794	222.50624099408685	CDKN1B;TFDP1
Gene Expression (Transcription) R-HSA-74160	7/1449	0.0019956703712354622	0.02551607117508198	0	0	4.734798160449668	29.4351760621473	HDAC5;PINK1;CDKN1B;BCL2L11;TFDP1;TAF1B;PHC3
Intrinsic Pathway For Apoptosis R-HSA-109606	2/55	0.0023131325887415658	0.027603382225649353	0	0	31.322327044025158	190.09998180598296	BCL2L11;TFDP1
Regulation Of PTEN Gene Transcription R-HSA-8943724	2/61	0.002836921642222664	0.02987111611516805	0	0	28.12853107344633	164.97484015733718	HDAC5;PHC3
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	2/61	0.002836921642222664	0.02987111611516805	0	0	28.12853107344633	164.97484015733718	CDKN1B;TERF2
Generic Transcription Pathway R-HSA-212436	6/1190	0.003603016411595262	0.03582999653753066	0	0	4.76097972972973	26.78519527076875	HDAC5;PINK1;CDKN1B;BCL2L11;TFDP1;PHC3
PIP3 Activates AKT Signaling R-HSA-1257604	3/268	0.004924943938128758	0.04463770758438464	0	0	9.70090237899918	51.545185898000064	HDAC5;CDKN1B;PHC3
Cyclin E Associated Events During G1/S Transition R-HSA-69202	2/82	0.005062892337468516	0.04463770758438464	0	0	20.722916666666666	109.537552475707	CDKN1B;TFDP1
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656	2/84	0.00530598053282158	0.04463770758438464	0	0	20.215447154471544	105.90712439907826	CDKN1B;TFDP1
RNA Polymerase II Transcription R-HSA-73857	6/1312	0.005817430870581174	0.04463770758438464	0	0	4.288208269525268	22.07096433039005	HDAC5;PINK1;CDKN1B;BCL2L11;TFDP1;PHC3
Oxidative Stress Induced Senescence R-HSA-2559580	2/93	0.006464994675580695	0.04463770758438464	0	0	18.207875457875456	91.79232920799026	TFDP1;PHC3
Activation Of NOXA And Translocation To Mitochondria R-HSA-111448	1/5	0.006483689369798885	0.04463770758438464	0	0	199.7	1006.1815770136444	TFDP1
RHOT1 GTPase Cycle R-HSA-9013425	1/5	0.006483689369798885	0.04463770758438464	0	0	199.7	1006.1815770136444	TRAK2
RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158	1/5	0.006483689369798885	0.04463770758438464	0	0	199.7	1006.1815770136444	BCL2L11
Intracellular Signaling By Second Messengers R-HSA-9006925	3/306	0.007105737251528048	0.04710840622309336	0	0	8.467929401635816	41.88959991204209	HDAC5;CDKN1B;PHC3
PTK6 Regulates Cell Cycle R-HSA-8849470	1/6	0.007775574144635047	0.049708134710345485	0	0	159.752	775.8783981291459	CDKN1B
RHOT2 GTPase Cycle R-HSA-9013419	1/7	0.009065844334115208	0.055958142614021454	0	0	133.12	626.0954814439701	TRAK2
Miro GTPase Cycle R-HSA-9715370	1/8	0.010354501736256563	0.06178186035966416	0	0	114.09714285714286	521.4620402892078	TRAK2
Activation Of PUMA And Translocation To Mitochondria R-HSA-139915	1/9	0.011641548186931168	0.06511991017064622	0	0	99.83	444.5604442545611	TFDP1
BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453	1/9	0.011641548186931168	0.06511991017064622	0	0	99.83	444.5604442545611	BCL2L11
G1/S Transition R-HSA-69206	2/129	0.012124717445624045	0.06576740675050617	0	0	13.022965879265092	57.463956048789974	CDKN1B;TFDP1
PTEN Regulation R-HSA-6807070	2/139	0.013973961266051086	0.0735687960771513	0	0	12.066301703163017	51.52986046289262	HDAC5;PHC3
Telomere C-strand Synthesis Initiation R-HSA-174430	1/12	0.015493040473318351	0.0766037695387396	0	0	72.59272727272727	302.5203442580517	TERF2
Mitotic G1 Phase And G1/S Transition R-HSA-453279	2/147	0.015536044445563956	0.0766037695387396	0	0	11.395977011494253	47.45960046775096	CDKN1B;TFDP1
Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501	1/13	0.016773661823445914	0.0766037695387396	0	0	66.54	272.01188501169923	TFDP1
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	3/424	0.017133548483607323	0.0766037695387396	0	0	6.057936589899825	24.63591273282765	HDAC5;CDKN1B;BCL2L11
AKT Phosphorylates Targets In Cytosol R-HSA-198323	1/14	0.01805268161758667	0.0766037695387396	0	0	61.418461538461536	246.562020931719	CDKN1B
TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116	1/14	0.01805268161758667	0.0766037695387396	0	0	61.418461538461536	246.562020931719	CDKN1B
S Phase R-HSA-69242	2/161	0.01844156459753795	0.0766037695387396	0	0	10.385220125786164	41.46972322252026	CDKN1B;TFDP1
Negative Regulation Of FLT3 R-HSA-9706369	1/15	0.019330101754838777	0.0766037695387396	0	0	57.02857142857143	225.0399736139121	SEPSECS
mRNA Decay By 3 To 5 Exoribonuclease R-HSA-429958	1/16	0.020605924132812946	0.0766037695387396	0	0	53.224	206.6249708321616	EXOSC3
Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300	1/16	0.020605924132812946	0.0766037695387396	0	0	53.224	206.6249708321616	TFDP1
SUMOylation Of DNA Methylation Proteins R-HSA-4655427	1/16	0.020605924132812946	0.0766037695387396	0	0	53.224	206.6249708321616	PHC3
FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828	1/17	0.02188015065344143	0.0766037695387396	0	0	49.895	190.70744238188936	CDKN1B
KSRP (KHSRP) Binds And Destabilizes mRNA R-HSA-450604	1/17	0.02188015065344143	0.0766037695387396	0	0	49.895	190.70744238188936	EXOSC3
Removal Of Flap Intermediate From C-strand R-HSA-174437	1/17	0.02188015065344143	0.0766037695387396	0	0	49.895	190.70744238188936	TERF2
Metabolism Of Folate And Pterines R-HSA-196757	1/17	0.02188015065344143	0.0766037695387396	0	0	49.895	190.70744238188936	SLC25A32
Butyrate Response Factor 1 Binds And Destabilizes mRNA R-HSA-450385	1/17	0.02188015065344143	0.0766037695387396	0	0	49.895	190.70744238188936	EXOSC3
Tristetraprolin (TTP, ZFP36) Binds And Destabilizes mRNA R-HSA-450513	1/17	0.02188015065344143	0.0766037695387396	0	0	49.895	190.70744238188936	EXOSC3
Apoptosis R-HSA-109581	2/178	0.022253609028013734	0.0766037695387396	0	0	9.374053030303031	35.67062541769929	BCL2L11;TFDP1
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114	1/18	0.023152783214921657	0.07806900793853701	0	0	46.95764705882353	176.82560723797164	TFDP1
Processive Synthesis On C-strand Of Telomere R-HSA-174414	1/19	0.02442382371261493	0.07806900793853701	0	0	44.346666666666664	164.6235293172426	TERF2
Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277	1/19	0.02442382371261493	0.07806900793853701	0	0	44.346666666666664	164.6235293172426	TFDP1
RHO GTPases Activate CIT R-HSA-5625900	1/19	0.02442382371261493	0.07806900793853701	0	0	44.346666666666664	164.6235293172426	CDKN1B
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803	1/21	0.026961136138080617	0.08466742752134088	0	0	39.908	144.2019250738276	BCL2L11
PINK1-PRKN Mediated Mitophagy R-HSA-5205685	1/22	0.028227411859507716	0.08471758451042448	0	0	38.005714285714284	135.5839309094672	PINK1
E2F Mediated Regulation Of DNA Replication R-HSA-113510	1/22	0.028227411859507716	0.08471758451042448	0	0	38.005714285714284	135.5839309094672	TFDP1
Signaling By NOTCH R-HSA-157118	2/203	0.02839695570181826	0.08471758451042448	0	0	8.197761194029852	29.19610788413947	HDAC5;TFDP1
Telomere Extension By Telomerase R-HSA-171319	1/23	0.02949210311266467	0.08574417349329043	0	0	36.276363636363634	127.82458269039886	TERF2
Programmed Cell Death R-HSA-5357801	2/208	0.029699099198793332	0.08574417349329043	0	0	7.996763754045308	28.121727801797547	BCL2L11;TFDP1
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009	1/24	0.030755211794707714	0.08601848298832314	0	0	34.697391304347825	120.8057619164666	BCL2L11
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638	1/24	0.030755211794707714	0.08601848298832314	0	0	34.697391304347825	120.8057619164666	CDKN1B
Polymerase Switching On C-strand Of Telomere R-HSA-174411	1/25	0.032016739803822636	0.08816917576745002	0	0	33.25	114.42975510355667	TERF2
Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400	1/26	0.0332766890274869	0.08890339307343514	0	0	31.9184	108.61506451316906	CDKN1B
Attenuation Phase R-HSA-3371568	1/26	0.0332766890274869	0.08890339307343514	0	0	31.9184	108.61506451316906	DNAJB6
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	1/27	0.034535061360654686	0.08959095628343752	0	0	30.689230769230768	103.29320526635196	EXOSC3
G0 And Early G1 R-HSA-1538133	1/27	0.034535061360654686	0.08959095628343752	0	0	30.689230769230768	103.29320526635196	TFDP1
Mitophagy R-HSA-5205647	1/28	0.03579185869121641	0.0902358127567287	0	0	29.551111111111112	98.40622903757162	PINK1
Notch-HLH Transcription Pathway R-HSA-350054	1/28	0.03579185869121641	0.0902358127567287	0	0	29.551111111111112	98.40622903757162	HDAC5
G1/S-Specific Transcription R-HSA-69205	1/29	0.03704708290694648	0.09084147726497835	0	0	28.494285714285713	93.90478962861957	TFDP1
HSF1 Activation R-HSA-3371511	1/29	0.03704708290694648	0.09084147726497835	0	0	28.494285714285713	93.90478962861957	DNAJB6
RNA Polymerase I Transcription Termination R-HSA-73863	1/30	0.03830073589051536	0.09264637465408444	0	0	27.510344827586206	89.74661743899148	TAF1B
PERK Regulates Gene Expression R-HSA-381042	1/32	0.04080333571367171	0.09528302846443636	0	0	25.732903225806453	82.31933722871672	EXOSC3
Gluconeogenesis R-HSA-70263	1/32	0.04080333571367171	0.09528302846443636	0	0	25.732903225806453	82.31933722871672	SLC37A1
Oncogene Induced Senescence R-HSA-2559585	1/33	0.042052286305533364	0.09528302846443636	0	0	24.9275	78.99129706265623	TFDP1
Packaging Of Telomere Ends R-HSA-171306	1/33	0.042052286305533364	0.09528302846443636	0	0	24.9275	78.99129706265623	TERF2
Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417	1/33	0.042052286305533364	0.09528302846443636	0	0	24.9275	78.99129706265623	TERF2
Synthesis Of Bile Acids And Bile Salts R-HSA-192105	1/34	0.043299673200093314	0.09688301878520879	0	0	24.170909090909092	75.88723251587066	OSBPL3
RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	1/35	0.04454549826752674	0.09844005172700354	0	0	23.458823529411763	72.98612815583363	PHC3
SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796	1/36	0.04578976337343589	0.0987514173957232	0	0	22.78742857142857	70.2694731674912	TFDP1
HSF1-dependent Transactivation R-HSA-3371571	1/36	0.04578976337343589	0.0987514173957232	0	0	22.78742857142857	70.2694731674912	DNAJB6
Cleavage Of Damaged Purine R-HSA-110331	1/37	0.04703247041327647	0.09904484945854691	0	0	22.153333333333332	67.72090251278901	TERF2
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359	1/37	0.04703247041327647	0.09904484945854691	0	0	22.153333333333332	67.72090251278901	TAF1B
Cell Cycle R-HSA-1640170	3/654	0.05181197172392919	0.10784119696027124	0	0	3.8715688238829893	11.460362671746266	CDKN1B;TFDP1;TERF2
