,clusters
cg00008647,0
cg00295572,0
cg00346208,0
cg00448707,6
cg00563824,5
cg00664416,3
cg00764612,3
cg00908766,6
cg00951395,2
cg01101873,2
cg01103597,4
cg01554529,7
cg01821018,5
cg02572729,5
cg02623400,0
cg02656891,0
cg02710296,6
cg02924487,5
cg02927682,7
cg02987928,3
cg03054277,6
cg03126058,2
cg03216846,0
cg03748376,6
cg03769939,4
cg04340595,4
cg04347414,6
cg04360793,0
cg05053440,5
cg05162523,6
cg05436231,0
cg06419732,6
cg06619077,2
cg06645033,5
cg07105947,5
cg07135032,0
cg07376381,2
cg07499142,4
cg07797073,5
cg08185241,0
cg08231710,5
cg08638320,3
cg09315878,4
cg09793172,0
cg09810089,5
cg10052561,3
cg10167378,6
cg10230190,2
cg10501210,2
cg10510935,6
cg10702770,3
cg10961604,0
cg10962762,5
cg10963061,6
cg11066601,6
cg11156891,2
cg11215976,0
cg11258381,4
cg11343894,6
cg11379081,0
cg11518509,3
cg11574975,0
cg12133962,4
cg12526693,1
cg12623852,5
cg12634306,6
cg13060114,5
cg13067553,6
cg13092405,5
cg13170051,5
cg13300273,0
cg13443627,5
cg13449535,4
cg13460643,0
cg13566436,6
cg13781744,5
cg13785196,4
cg13897675,6
cg13985485,0
cg14515812,5
cg14531564,4
cg14789818,5
cg15084543,0
cg15728256,5
cg15743907,4
cg15979173,0
cg16101008,5
cg16290275,1
cg16355231,1
cg16419354,0
cg16532282,3
cg16554164,1
cg17163168,5
cg17210938,5
cg17449954,0
cg17463745,5
cg17471939,5
cg17496659,0
cg17804348,5
cg17928286,3
cg17966560,3
cg17974166,5
cg18235937,0
cg18279094,0
cg18564989,5
cg18792022,5
cg18794839,0
cg19022697,6
cg19081101,7
cg19098932,1
cg19645639,4
cg19730691,3
cg19757631,4
cg19922137,0
cg20016673,6
cg20329210,5
cg20462561,5
cg20674490,6
cg20677901,0
cg21161394,3
cg21270860,0
cg21460394,6
cg21609526,6
cg21778193,6
cg21834207,0
cg22344745,6
cg22350048,6
cg22507154,5
cg22617819,2
cg22694818,0
cg22816091,6
cg23014549,4
cg23115387,5
cg23173688,5
cg23610373,6
cg23629166,1
cg23847109,0
cg24073777,4
cg24346905,6
cg24427376,3
cg24442740,3
cg24466241,0
cg24845595,5
cg24998527,6
cg25137787,2
cg25607920,6
cg25773262,5
cg26008365,3
cg26038582,2
cg26055950,5
cg26247646,7
cg26345105,5
cg26347746,6
cg26422458,0
cg26553501,1
cg26558485,3
cg26574680,0
cg27179622,6
cg27549720,0
cg00573770,2
cg01243072,1
cg01615704,0
cg01620164,6
cg01898698,0
cg02347074,0
cg02592271,6
cg02629106,0
cg03451670,0
cg03581262,1
cg03738707,6
cg03782202,5
cg03877767,6
cg03964958,0
cg04319873,5
cg04575202,3
cg04667538,2
cg04790977,6
cg04864807,0
cg05313794,6
cg05852568,6
cg05890377,6
cg05903289,6
cg05979020,3
cg06202737,2
cg06282964,6
cg06536868,6
cg06588802,4
cg06627617,6
cg06638795,3
cg07203423,0
cg07205203,7
cg07594247,6
cg07673080,6
cg07894334,4
cg07974504,6
cg08123444,4
cg08184652,0
cg08186790,1
cg08566455,0
cg08806184,1
cg09015973,6
cg09982942,5
cg11358945,0
cg11546137,0
cg11765362,6
cg12157614,5
cg12573791,6
cg13283952,3
cg14410016,3
cg14417784,6
cg14453187,3
cg14473102,0
cg14481208,5
cg14535980,3
cg14659346,6
cg15121420,1
cg15165122,3
cg15506703,6
cg15806569,6
cg15833099,6
cg16306978,6
cg17158414,6
cg17980283,0
cg18077307,6
cg18192325,6
cg19051213,4
cg19052272,6
cg19075787,2
cg19761848,0
cg20065463,5
cg20139706,0
cg20225999,6
cg20314884,5
cg20698421,2
cg20927661,0
cg20945085,0
cg21032567,6
cg21248554,6
cg21918313,5
cg22242842,6
cg22712983,7
cg22878388,6
cg22880770,5
cg22920501,6
cg23546474,0
cg23606718,0
cg23649088,6
cg23668184,0
cg24079702,5
cg24127874,5
cg24436906,5
cg24516106,6
cg24611351,1
cg24633978,0
cg25242471,6
cg25298319,6
cg25487775,2
cg25731401,6
cg25810938,5
cg26075039,6
cg26123256,5
cg26337070,2
cg26641076,3
cg26874229,6
cg27088072,0
cg27291468,4
cg00664406,5
cg00817731,6
cg01079515,6
cg01788113,5
cg01797371,6
cg01896761,0
cg02605996,6
cg02773588,6
cg02834909,6
cg03484180,2
cg03540175,5
cg03646916,5
cg03921696,4
cg04222358,0
cg04453050,5
cg04738965,0
cg05134945,0
cg05768427,0
cg05937737,0
cg06062984,0
cg06598836,0
cg06636831,6
cg07553761,5
cg08048268,6
cg08450017,4
cg10263370,0
cg10603275,0
cg11236526,0
cg11883836,3
cg11885357,6
cg12468774,5
cg12595013,0
cg13331200,0
cg13790603,0
cg14051544,0
cg14325153,5
cg14654533,3
cg15618978,5
cg16768018,0
cg17280346,0
