,clusters
cg00008647,0
cg00295572,0
cg00346208,0
cg00448707,6
cg00563824,0
cg00664416,7
cg00764612,7
cg00908766,4
cg00951395,2
cg01101873,4
cg01103597,5
cg01554529,3
cg01821018,2
cg02572729,6
cg02623400,0
cg02656891,0
cg02710296,6
cg02924487,2
cg02927682,3
cg02987928,7
cg03054277,6
cg03126058,4
cg03216846,7
cg03748376,6
cg03769939,5
cg04340595,5
cg04347414,6
cg04360793,0
cg05053440,2
cg05162523,1
cg05436231,7
cg06419732,4
cg06619077,4
cg06645033,7
cg07105947,2
cg07135032,0
cg07376381,2
cg07499142,5
cg07797073,2
cg08185241,0
cg08231710,2
cg08638320,7
cg09315878,5
cg09793172,0
cg09810089,2
cg10052561,7
cg10167378,6
cg10230190,4
cg10501210,4
cg10510935,6
cg10702770,7
cg10961604,0
cg10962762,2
cg10963061,6
cg11066601,4
cg11156891,4
cg11215976,0
cg11258381,5
cg11343894,6
cg11379081,0
cg11518509,7
cg11574975,0
cg12133962,5
cg12526693,1
cg12623852,2
cg12634306,6
cg13060114,2
cg13067553,6
cg13092405,2
cg13170051,2
cg13300273,0
cg13443627,2
cg13449535,5
cg13460643,0
cg13566436,1
cg13781744,2
cg13785196,5
cg13897675,6
cg13985485,0
cg14515812,2
cg14531564,5
cg14789818,2
cg15084543,0
cg15728256,0
cg15743907,5
cg15979173,7
cg16101008,2
cg16290275,4
cg16355231,1
cg16419354,0
cg16532282,7
cg16554164,1
cg17163168,2
cg17210938,2
cg17449954,0
cg17463745,0
cg17471939,2
cg17496659,0
cg17804348,2
cg17928286,7
cg17966560,7
cg17974166,2
cg18235937,0
cg18279094,0
cg18564989,0
cg18792022,2
cg18794839,0
cg19022697,2
cg19081101,3
cg19098932,1
cg19645639,5
cg19730691,7
cg19757631,5
cg19922137,0
cg20016673,6
cg20329210,2
cg20462561,2
cg20674490,6
cg20677901,0
cg21161394,7
cg21270860,0
cg21460394,6
cg21609526,6
cg21778193,6
cg21834207,0
cg22344745,6
cg22350048,6
cg22507154,2
cg22617819,4
cg22694818,0
cg22816091,6
cg23014549,5
cg23115387,2
cg23173688,2
cg23610373,6
cg23629166,1
cg23847109,0
cg24073777,5
cg24346905,6
cg24427376,7
cg24442740,7
cg24466241,7
cg24845595,2
cg24998527,6
cg25137787,4
cg25607920,4
cg25773262,2
cg26008365,7
cg26038582,4
cg26055950,2
cg26247646,3
cg26345105,2
cg26347746,6
cg26422458,0
cg26553501,1
cg26558485,7
cg26574680,0
cg27179622,6
cg27549720,0
cg00573770,4
cg01243072,1
cg01615704,0
cg01620164,1
cg01898698,0
cg02347074,0
cg02592271,6
cg02629106,0
cg03451670,0
cg03581262,1
cg03738707,6
cg03782202,2
cg03877767,6
cg03964958,0
cg04319873,2
cg04575202,7
cg04667538,4
cg04790977,6
cg04864807,0
cg05313794,4
cg05852568,6
cg05890377,6
cg05903289,6
cg05979020,7
cg06202737,4
cg06282964,6
cg06536868,6
cg06588802,5
cg06627617,2
cg06638795,7
cg07203423,0
cg07205203,3
cg07594247,6
cg07673080,6
cg07894334,5
cg07974504,6
cg08123444,5
cg08184652,0
cg08186790,1
cg08566455,0
cg08806184,1
cg09015973,6
cg09982942,2
cg11358945,0
cg11546137,0
cg11765362,6
cg12157614,2
cg12573791,6
cg13283952,7
cg14410016,7
cg14417784,6
cg14453187,7
cg14473102,0
cg14481208,2
cg14535980,7
cg14659346,6
cg15121420,1
cg15165122,7
cg15506703,6
cg15806569,6
cg15833099,6
cg16306978,2
cg17158414,6
cg17980283,7
cg18077307,6
cg18192325,4
cg19051213,5
cg19052272,6
cg19075787,4
cg19761848,0
cg20065463,0
cg20139706,0
cg20225999,6
cg20314884,6
cg20698421,4
cg20927661,0
cg20945085,7
cg21032567,2
cg21248554,6
cg21918313,2
cg22242842,1
cg22712983,3
cg22878388,6
cg22880770,2
cg22920501,2
cg23546474,0
cg23606718,0
cg23649088,6
cg23668184,0
cg24079702,2
cg24127874,2
cg24436906,0
cg24516106,6
cg24611351,1
cg24633978,0
cg25242471,2
cg25298319,6
cg25487775,2
cg25731401,6
cg25810938,2
cg26075039,6
cg26123256,2
cg26337070,4
cg26641076,7
cg26874229,6
cg27088072,7
cg27291468,5
cg00664406,2
cg00817731,2
cg01079515,6
cg01788113,2
cg01797371,6
cg01896761,0
cg02605996,4
cg02773588,2
cg02834909,2
cg03484180,4
cg03540175,2
cg03646916,0
cg03921696,5
cg04222358,0
cg04453050,2
cg04738965,0
cg05134945,7
cg05768427,0
cg05937737,7
cg06062984,0
cg06598836,0
cg06636831,2
cg07553761,0
cg08048268,6
cg08450017,5
cg10263370,0
cg10603275,0
cg11236526,0
cg11883836,7
cg11885357,6
cg12468774,2
cg12595013,0
cg13331200,0
cg13790603,0
cg14051544,0
cg14325153,2
cg14654533,7
cg15618978,0
cg16768018,0
cg17280346,0
