,clusters
cg00008647,2
cg00295572,7
cg00346208,7
cg00448707,5
cg00563824,5
cg00664416,2
cg00764612,0
cg00908766,1
cg00951395,5
cg01101873,3
cg01103597,3
cg01554529,6
cg01821018,4
cg02572729,5
cg02623400,7
cg02656891,0
cg02710296,4
cg02924487,5
cg02927682,6
cg02987928,0
cg03054277,5
cg03126058,3
cg03216846,0
cg03748376,4
cg03769939,3
cg04340595,4
cg04347414,4
cg04360793,0
cg05053440,5
cg05162523,3
cg05436231,5
cg06419732,1
cg06619077,3
cg06645033,0
cg07105947,4
cg07135032,0
cg07376381,4
cg07499142,4
cg07797073,5
cg08185241,0
cg08231710,0
cg08638320,2
cg09315878,1
cg09793172,0
cg09810089,4
cg10052561,2
cg10167378,5
cg10230190,1
cg10501210,3
cg10510935,4
cg10702770,2
cg10961604,0
cg10962762,2
cg10963061,1
cg11066601,1
cg11156891,1
cg11215976,7
cg11258381,3
cg11343894,1
cg11379081,0
cg11518509,2
cg11574975,2
cg12133962,3
cg12526693,1
cg12623852,2
cg12634306,5
cg13060114,0
cg13067553,4
cg13092405,4
cg13170051,4
cg13300273,0
cg13443627,5
cg13449535,3
cg13460643,0
cg13566436,3
cg13781744,2
cg13785196,3
cg13897675,4
cg13985485,0
cg14515812,4
cg14531564,3
cg14789818,0
cg15084543,0
cg15728256,7
cg15743907,3
cg15979173,7
cg16101008,4
cg16290275,3
cg16355231,3
cg16419354,0
cg16532282,4
cg16554164,3
cg17163168,5
cg17210938,2
cg17449954,2
cg17463745,5
cg17471939,4
cg17496659,2
cg17804348,0
cg17928286,2
cg17966560,0
cg17974166,0
cg18235937,0
cg18279094,7
cg18564989,5
cg18792022,2
cg18794839,7
cg19022697,4
cg19081101,6
cg19098932,3
cg19645639,3
cg19730691,0
cg19757631,3
cg19922137,0
cg20016673,4
cg20329210,5
cg20462561,4
cg20674490,3
cg20677901,0
cg21161394,2
cg21270860,0
cg21460394,5
cg21609526,4
cg21778193,4
cg21834207,0
cg22344745,4
cg22350048,1
cg22507154,5
cg22617819,1
cg22694818,7
cg22816091,1
cg23014549,3
cg23115387,0
cg23173688,2
cg23610373,5
cg23629166,3
cg23847109,0
cg24073777,3
cg24346905,5
cg24427376,2
cg24442740,2
cg24466241,0
cg24845595,4
cg24998527,1
cg25137787,4
cg25607920,1
cg25773262,0
cg26008365,2
cg26038582,1
cg26055950,5
cg26247646,1
cg26345105,0
cg26347746,4
cg26422458,7
cg26553501,3
cg26558485,0
cg26574680,0
cg27179622,5
cg27549720,5
cg00573770,3
cg01243072,3
cg01615704,0
cg01620164,3
cg01898698,0
cg02347074,7
cg02592271,5
cg02629106,0
cg03451670,0
cg03581262,1
cg03738707,5
cg03782202,5
cg03877767,1
cg03964958,0
cg04319873,5
cg04575202,2
cg04667538,1
cg04790977,1
cg04864807,0
cg05313794,1
cg05852568,4
cg05890377,4
cg05903289,1
cg05979020,0
cg06202737,1
cg06282964,1
cg06536868,4
cg06588802,3
cg06627617,2
cg06638795,0
cg07203423,7
cg07205203,6
cg07594247,1
cg07673080,1
cg07894334,3
cg07974504,4
cg08123444,3
cg08184652,0
cg08186790,3
cg08566455,7
cg08806184,3
cg09015973,1
cg09982942,4
cg11358945,0
cg11546137,7
cg11765362,1
cg12157614,5
cg12573791,1
cg13283952,0
cg14410016,0
cg14417784,4
cg14453187,2
cg14473102,7
cg14481208,1
cg14535980,2
cg14659346,4
cg15121420,3
cg15165122,2
cg15506703,1
cg15806569,1
cg15833099,4
cg16306978,4
cg17158414,4
cg17980283,0
cg18077307,3
cg18192325,1
cg19051213,3
cg19052272,4
cg19075787,1
cg19761848,0
cg20065463,7
cg20139706,2
